accession	comparison	comparisonsText
GSE107363	1	HobRAvsHob
GSE85761	1	EVvsCells
GSE89179	1	siCon_FOB_ObvssiCon_FOB_Und
GSE89179	2	siCHD1_FOB_ObvssiCon_FOB_Ob
GSE89179	3	siCon_MSC_AdvssiCon_MSC_Und
GSE89179	4	siCon_MSC_ObvssiCon_MSC_Und
GSE89179	5	siCHD1_MSC_AdvssiCon_MSC_Ad
GSE89179	6	siCHD1_MSC_UndvssiCon_MSC_Und
GSE89179	7	siCHD1_MSC_ObvssiCon_MSC_Ob
22659600	1	OAvsNonOA
24361742	1	damagedvsundamaged
GSE72258	1	Rheumatoid.arthritis.synovial.fibroblast..HDAC1..25.nm.siRNA.knockdown..48.hvsRheumatoid.arthritis.synovial.fibroblast..NTC..25.nm.siRNA.knockdown..48.h
GSE72258	2	Rheumatoid.arthritis.synovial.fibroblast..C5orf30..50nm.siRNA..knockdown.24hvsRheumatoid.arthritis.synovial.fibroblast..NTC..50nm.siRNA..knockdown.24h
GSE69531	1	Plastic-PelletvsPlastic-Cell
GSE69531	2	ECM-PelletvsECM-Cell
GSE69531	3	ECM-PelletvsPlastic-Pellet
GSE69531	4	Plastic-PelletvsPlastic-Cell
GSE58203	1	IL1.1vsIL1.0
GSE58203	2	IL1.2vsIL1.0
GSE58203	3	IL1.4vsIL1.0
GSE58203	4	IL1.12vsIL1.0
GSE58203	5	PDGF.1vsPDGF.0
GSE58203	6	PDGF.2vsPDGF.0
GSE58203	7	PDGF.4vsPDGF.0
GSE58203	8	PDGF.12vsPDGF.0
GSE59642	1	osteoarthiritisvsreference
GSE59642	2	degenerated cartilagevsreference
GSE59642	3	degenerated cartilagevsosteoarthiritis
GSE64922	1	PlGF siRNAvscontrol siRNA
GSE60162	1	TBX5 overexpressionvsvector control
GSE31685	1	Interleukin.1beta.pre.stimulated.and.resveratrol.treatedvsNK..Interleukin.1beta.pre.stimulated
E-MEXP-3890	1	CD14-positive macrophagevsCD14-positive monocyte
GSE31980	1	MSC.aggregates.cultured.in.hanging.drop.culture.for.3.daysvsMSCs.in.a.monolayer.culture
GSE15615	1	TNFalphavsno cytokine
GSE15083	1	persistentvsextended
GSE108035	1	chondrocyte-like cells (ChiPS)vshuman induced pluripotent stem cells (GPCCi001-A)
